video_id,title,channel_name,ad_status,sw_violence_death,sw_sexual_content,sw_profanity,sw_drugs_substances,sw_hate_speech_slurs,sw_mental_health,sw_political_controversial,sw_weapons_military,sw_coded_numbers,sw_total,as_drugs,as_mental_health,as_other,as_platform_moderation,as_profanity,as_sexual,as_violence_death,as_weapons,as_total
2UlHMN-rlpU,Darth Vader AI Fortnite is The Greatest Mistake Ever,Geeks + Gamers,Yes,1,0,7,0,4,0,6,0,0,18,0,0,1,0,0,0,0,0,1
2ZWBPikZxO8,TRANS ATTACK STOPPED!,TheQuartering,Yes,10,0,11,1,0,0,15,5,0,42,0,0,0,0,0,0,0,0,0
2bcKKs6vpGU,PAWN STARS MASSIVE SCAM,TheQuartering,Yes,5,0,0,5,0,0,5,1,0,16,0,0,0,0,0,0,0,0,0
2hyzu8KSiI8,"Starfleet Academy is Worse Than Prison - Episode 6: Come, Let's Dumb",Nerdrotic,Yes,24,5,12,0,10,3,12,11,0,77,0,0,0,0,0,0,0,0,0
2r-TOm5A2oc,"Carlos Garrido on Infrared - Marxism, Philosophy, and More",midwesternmarx,No,21,2,24,0,33,1,43,2,0,126,0,0,0,0,0,0,0,0,0
2r1EwB-XYyc,Responding to Vice: Do the Capitol Riots signal The United States is crumbling like Rome?,midwesternmarx,No,11,1,3,0,7,0,43,0,0,65,0,0,0,3,0,0,0,0,3
2tlOYNOw68Y,WOKE WOMAN BRUTALLY FINDS OUT,TheQuartering,Yes,14,0,4,0,5,1,7,5,0,36,0,0,0,1,0,0,0,2,3
35UKNNokTlQ,,,Yes,38,5,21,0,20,0,13,21,0,118,1,0,0,0,0,0,0,0,1
3G7h9LSoweo,John Campea Blames FANS For Star Wars Failure,Geeks + Gamers,Yes,6,0,3,0,4,1,34,0,0,48,0,0,0,0,0,0,0,0,0
3L1ZsbANYfU,What Did Enoch Powell Actually Say?,The Podcast of the Lotus Eaters,Yes,9,0,6,0,51,0,7,0,0,73,0,0,0,0,0,0,0,0,0
3LgZfdzT7ck,The Life & Legacy of Che Guevara,midwesternmarx,Yes,6,0,3,1,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0
3R9n9gg9qF0,,,Yes,3,0,22,0,2,0,28,3,0,58,0,0,0,0,0,0,0,0,0
3TPWf8zasrA,,,Yes,11,0,8,0,1,0,12,1,0,33,3,0,0,0,0,0,0,0,3
3YelCxIWxtw,Crash And Burn - The Steven Seagal Story,The Critical Drinker,Yes,13,1,8,1,3,0,24,5,0,55,0,0,0,0,0,0,0,0,0
3fviMJs8kS8,2026 Movies Are CRAZY ,Geeks + Gamers,Yes,0,0,4,0,2,0,4,0,0,10,0,0,0,0,0,0,0,0,0
3mHWNvvApRg,Eddie Liger Livestream 5/30,midwesternmarx,No,14,3,6,0,16,0,17,0,0,56,0,0,0,0,0,0,0,0,0
3vUjNTuoaLM,FULL Woke Girl Boss - Toy Story 5 Might Be in Trouble,Geeks + Gamers,Yes,0,0,2,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0
3vuvF63OFjQ,Black People Have to Decide How We Feel About Police | OLAY & FRIENDS,olurinatti,,56,4,15,2,213,0,39,1,3,333,0,0,0,3,0,0,0,0,3
3ys0d7N5Ykc,A Marxist’s opinion on President Biden thus far.,midwesternmarx,Yes,4,0,1,0,2,0,18,0,0,25,0,0,0,1,0,0,0,0,1
4-vxJtTUz5o,,,Yes,11,0,1,0,1,0,1,1,0,15,0,0,0,0,0,0,0,0,0
4DxxFCai5p0,Imperialism the Highest Stage of Capitalism: Reading Guide- Ch4 Export Capital,midwesternmarx,Yes,1,0,0,0,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0
4Ft9zdso6ZE,,,Yes,2,0,2,0,1,0,4,0,0,9,0,0,0,0,0,0,0,0,0
4Mi9GJTogHw,,,Yes,14,0,3,0,0,0,9,0,0,26,0,0,0,0,0,0,0,0,0
